name,level,category,refmet_id,biomapper_id,refmet_node,bm_node,refmet_in_kg,arm,n_candidates,bm_rank,refmet_rank,rank1_score,refmet_score,score_gap,outcome,refmet_has_RM,bm_has_RM
syringaresinol,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:49211,CHEBI:47,CHEBI:49211,CHEBI:47,True,chebi_filter,50,1,3,2.4997,2.4622,0.0375,refmet_ranked_low,False,False
tagatose,MS1,parent/child or substring (generic vs specific),CHEBI:47693,CHEBI:33954,CHEBI:47693,CHEBI:33954,True,chebi_filter,50,1,2,4.8682,3.0992,1.769,refmet_ranked_low,True,False
tartronate (hydroxymalonate),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16513,CHEBI:17649,CHEBI:16513,CHEBI:17649,True,chebi_filter,50,1,5,3.1329,0.7628,2.3701,refmet_ranked_low,True,False
taurochenodeoxycholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16525,CHEBI:9407,CHEBI:16525,CHEBI:9407,True,chebi_filter,50,1,2,4.9014,2.434,2.4674,refmet_ranked_low,True,False
thioproline,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:64564,CHEBI:45171,CHEBI:133584,CHEBI:45171,True,chebi_filter,50,1,2,2.491,2.4573,0.0338,refmet_ranked_low,False,True
threonate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:15908,CHEBI:15243,CHEBI:49059,CHEBI:15243,True,chebi_filter,50,1,,4.8625,,,refmet_absent,True,False
trans-urocanate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:27248,CHEBI:30817,CHEBI:27248,CHEBI:30817,True,chebi_filter,50,8,2,4.9145,1.5672,3.3473,refmet_ranked_low,False,True
trehalose,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:27082,CHEBI:16551,CHEBI:27082,CHEBI:16551,True,chebi_filter,50,1,2,2.4954,2.4662,0.0292,refmet_ranked_low,False,True
tryptophan,CURATION,multi-id (biomapper ambiguous set),CHEBI:27897,CHEBI:16828|CHEBI:57719|CHEBI:57912,CHEBI:27897,CHEBI:16828,True,chebi_filter,50,1,2,2.4959,2.486,0.0099,refmet_ranked_low,True,True
tyrosine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:18186,CHEBI:17895,CHEBI:28479,CHEBI:17895,True,chebi_filter,50,1,2,2.4857,2.4536,0.0321,refmet_ranked_low,True,True
undecanoate (11:0),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:32368,CHEBI:32369,CHEBI:32368,CHEBI:32369,True,chebi_filter,50,1,5,1.409,0.6577,0.7513,refmet_ranked_low,True,False
valine,CURATION,multi-id (biomapper ambiguous set),CHEBI:27266,CHEBI:16414|CHEBI:57762,CHEBI:27266,CHEBI:16414,True,chebi_filter,50,2,3,3.2726,2.4643,0.8082,refmet_ranked_low,True,True
(15:3)-anacardic acid,CURATION,divergent (different compound),CHEBI:174627,CHEBI:25569,CHEBI:174627,CHEBI:25569,True,unfiltered,50,1,,0.6786,,,refmet_absent,True,False
"(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[(Z)-2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",MS2,divergent (different compound),CHEBI:76155,CHEBI:94610,CHEBI:76155,CHEBI:94610,True,unfiltered,50,1,,2.4507,,,refmet_absent,True,False
